service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
299502001,1,1,1,1,1,0,0,20250707,20250710
303026602,0,0,0,0,0,0,1,20250721,20250721
297917002,1,1,1,1,1,0,0,20250711,20250801
297858601,0,0,0,0,0,0,1,20250713,20250803
297856501,0,0,0,0,0,1,0,20250712,20250802
301615000,1,1,1,1,1,0,0,20250707,20250801
301376500,0,0,0,0,0,1,0,20250712,20250802
304223601,0,0,0,0,0,0,1,20250721,20250721
299676600,0,0,0,0,0,0,1,20250713,20250803
301616000,1,1,1,1,1,0,0,20250707,20250801
301375500,0,0,0,0,0,1,0,20250712,20250802
299675600,0,0,0,0,0,0,1,20250713,20250803
304220601,0,0,0,0,0,0,1,20250721,20250721
298238000,1,1,1,1,1,0,0,20250707,20250801
298192500,0,0,0,0,0,1,0,20250712,20250802
298191600,0,0,0,0,0,0,1,20250713,20250803
298711000,1,1,1,1,1,0,0,20250707,20250801
298245500,0,0,0,0,0,1,0,20250712,20250802
298208600,0,0,0,0,0,0,1,20250713,20250803
304150601,0,0,0,0,0,0,1,20250721,20250721
301617000,1,1,1,1,1,0,0,20250707,20250801
301374500,0,0,0,0,0,1,0,20250712,20250802
299674600,0,0,0,0,0,0,1,20250713,20250803
304222601,0,0,0,0,0,0,1,20250721,20250721
299295001,1,1,1,1,1,0,0,20250707,20250801
303644602,0,0,0,0,0,0,1,20250721,20250721
299293501,0,0,0,0,0,1,0,20250712,20250802
299291601,0,0,0,0,0,0,1,20250713,20250803
299285001,1,1,1,1,1,0,0,20250707,20250801
299350501,0,0,0,0,0,1,0,20250712,20250802
299325601,0,0,0,0,0,0,1,20250713,20250803
303222001,1,1,1,1,1,0,0,20250707,20250801
301584501,0,0,0,0,0,1,0,20250712,20250802
301582601,0,0,0,0,0,0,1,20250713,20250803
304304602,0,0,0,0,0,0,1,20250721,20250721
299549000,1,1,1,1,1,0,0,20250707,20250801
299553500,0,0,0,0,0,1,0,20250712,20250802
299555600,0,0,0,0,0,0,1,20250713,20250803
304542601,0,0,0,0,0,0,1,20250721,20250721
300585000,1,1,1,1,1,0,0,20250707,20250801
300591500,0,0,0,0,0,1,0,20250712,20250802
300533600,0,0,0,0,0,0,1,20250713,20250803
298712000,1,1,1,1,1,0,0,20250707,20250801
298246500,0,0,0,0,0,1,0,20250712,20250802
298209600,0,0,0,0,0,0,1,20250713,20250803
299443001,1,1,1,1,1,0,0,20250707,20250801
299445501,0,0,0,0,0,1,0,20250712,20250802
299348601,0,0,0,0,0,0,1,20250713,20250803
304216602,0,0,0,0,0,0,1,20250721,20250721
299943001,1,1,1,1,1,0,0,20250707,20250801
299939501,0,0,0,0,0,1,0,20250712,20250802
299932601,0,0,0,0,0,0,1,20250713,20250803
301618000,1,1,1,1,1,0,0,20250707,20250801
299673600,0,0,0,0,0,0,1,20250713,20250803
301373500,0,0,0,0,0,1,0,20250712,20250802
304221601,0,0,0,0,0,0,1,20250721,20250721
302923000,1,1,1,1,1,0,0,20250707,20250801
301827601,0,0,0,0,0,0,1,20250713,20250803
301864501,0,0,0,0,0,1,0,20250712,20250802
299560000,1,1,1,1,1,0,0,20250707,20250801
299564500,0,0,0,0,0,1,0,20250712,20250802
299566600,0,0,0,0,0,0,1,20250713,20250803
299797001,1,1,1,1,1,0,0,20250707,20250801
299801501,0,0,0,0,0,1,0,20250712,20250802
299803601,0,0,0,0,0,0,1,20250713,20250803
304058602,0,0,0,0,0,0,1,20250721,20250721
299451001,1,1,1,1,1,0,0,20250707,20250731
299452051,1,1,1,1,1,0,0,20250711,20250801
299449501,0,0,0,0,0,1,0,20250712,20250802
299448601,0,0,0,0,0,0,1,20250713,20250803
300058001,1,1,1,1,1,0,0,20250707,20250801
304183602,0,0,0,0,0,0,1,20250721,20250721
300062501,0,0,0,0,0,1,0,20250712,20250802
300064601,0,0,0,0,0,0,1,20250713,20250803
301619000,1,1,1,1,1,0,0,20250707,20250801
301372500,0,0,0,0,0,1,0,20250712,20250802
299672600,0,0,0,0,0,0,1,20250713,20250803
299569000,1,1,1,1,1,0,0,20250707,20250801
304251601,0,0,0,0,0,0,1,20250721,20250721
299628500,0,0,0,0,0,1,0,20250712,20250802
299630600,0,0,0,0,0,0,1,20250713,20250803
303208001,1,1,1,1,1,0,0,20250707,20250711
303220502,0,0,0,0,0,1,0,20250712,20250726
303218602,0,0,0,0,0,0,1,20250713,20250727
304520003,1,1,1,1,1,0,0,20250728,20250801
303213002,1,1,1,1,1,0,0,20250714,20250725
304523503,0,0,0,0,0,1,0,20250802,20250802
304522603,0,0,0,0,0,0,1,20250803,20250803
300329601,0,0,0,0,0,0,1,20250713,20250803
300216001,1,1,1,1,1,0,0,20250707,20250801
300327501,0,0,0,0,0,1,0,20250712,20250802
304204602,0,0,0,0,0,0,1,20250721,20250721
298236000,1,1,1,1,1,0,0,20250707,20250718
298196500,0,0,0,0,0,1,0,20250712,20250802
304579001,1,1,1,1,1,0,0,20250722,20250801
298197600,0,0,0,0,0,0,1,20250713,20250803
303775601,0,0,0,0,0,0,1,20250721,20250721
299632000,1,1,1,1,1,0,0,20250707,20250801
300049500,0,0,0,0,0,1,0,20250712,20250802
300051600,0,0,0,0,0,0,1,20250713,20250803
300372001,1,1,1,1,1,0,0,20250707,20250801
300334501,0,0,0,0,0,1,0,20250712,20250802
300323601,0,0,0,0,0,0,1,20250713,20250803
304300005,1,1,1,1,1,0,0,20250728,20250801
303730003,1,1,1,1,1,0,0,20250707,20250711
303094502,0,0,0,0,0,1,0,20250712,20250726
303096602,0,0,0,0,0,0,1,20250713,20250727
303734004,1,1,1,1,1,0,0,20250714,20250725
304310603,0,0,0,0,0,0,1,20250803,20250803
304306503,0,0,0,0,0,1,0,20250802,20250802
300373001,1,1,1,1,1,0,0,20250707,20250801
300330601,0,0,0,0,0,0,1,20250713,20250803
300354501,0,0,0,0,0,1,0,20250712,20250802
299459001,1,1,1,1,1,0,0,20250707,20250731
299492051,1,1,1,1,1,0,0,20250711,20250801
299494501,0,0,0,0,0,1,0,20250712,20250802
299493601,0,0,0,0,0,0,1,20250713,20250803
299283001,1,1,1,1,1,0,0,20250707,20250801
299288501,0,0,0,0,0,1,0,20250712,20250802
299286601,0,0,0,0,0,0,1,20250713,20250803
300369001,1,1,1,1,1,0,0,20250707,20250801
304210602,0,0,0,0,0,0,1,20250721,20250721
300377501,0,0,0,0,0,1,0,20250712,20250802
300381601,0,0,0,0,0,0,1,20250713,20250803
301086001,1,1,1,1,1,0,0,20250707,20250801
304253602,0,0,0,0,0,0,1,20250721,20250721
301111501,0,0,0,0,0,1,0,20250712,20250802
301113601,0,0,0,0,0,0,1,20250713,20250803
303099001,1,1,1,1,1,0,0,20250707,20250801
301423501,0,0,0,0,0,1,0,20250712,20250802
301335601,0,0,0,0,0,0,1,20250713,20250803
301471000,1,1,1,1,1,0,0,20250707,20250801
298310500,0,0,0,0,0,1,0,20250712,20250802
298308600,0,0,0,0,0,0,1,20250713,20250803
299938001,1,1,1,1,1,0,0,20250707,20250801
300046501,0,0,0,0,0,1,0,20250712,20250802
299934601,0,0,0,0,0,0,1,20250713,20250803
304156602,0,0,0,0,0,0,1,20250721,20250721
299446001,1,1,1,1,1,0,0,20250707,20250801
299454501,0,0,0,0,0,1,0,20250712,20250802
299453601,0,0,0,0,0,0,1,20250713,20250803
300325001,1,1,1,1,1,0,0,20250707,20250801
304312602,0,0,0,0,0,0,1,20250721,20250721
300379501,0,0,0,0,0,1,0,20250712,20250802
300085601,0,0,0,0,0,0,1,20250713,20250803
301737000,1,1,1,1,1,0,0,20250707,20250801
301422500,0,0,0,0,0,1,0,20250712,20250802
300525600,0,0,0,0,0,0,1,20250713,20250803
300038001,1,1,1,1,1,0,0,20250707,20250801
300510501,0,0,0,0,0,1,0,20250712,20250802
300489601,0,0,0,0,0,0,1,20250713,20250803
304292602,0,0,0,0,0,0,1,20250721,20250721
299498001,1,1,1,1,1,0,0,20250707,20250801
304297602,0,0,0,0,0,0,1,20250721,20250721
299507501,0,0,0,0,0,1,0,20250712,20250802
299495601,0,0,0,0,0,0,1,20250713,20250803
301118001,1,1,1,1,1,0,0,20250707,20250801
301119501,0,0,0,0,0,1,0,20250712,20250802
301120601,0,0,0,0,0,0,1,20250713,20250803
304169603,0,0,0,0,0,0,1,20250721,20250721
300176000,1,1,1,1,1,0,0,20250707,20250711
303055501,0,0,0,0,0,1,0,20250712,20250802
304259602,0,0,0,0,0,0,1,20250721,20250721
303057601,0,0,0,0,0,0,1,20250713,20250803
303053001,1,1,1,1,1,0,0,20250714,20250801
300984601,0,0,0,0,0,0,1,20250713,20250803
300987001,1,1,1,1,1,0,0,20250707,20250801
304263602,0,0,0,0,0,0,1,20250721,20250721
