route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
2,"STIB/MIVB",1,"GARE DE L'OUEST - STOCKEL",,1,,B5378C,FFFFFF
3,"STIB/MIVB",2,"SIMONIS - ELISABETH",,1,,ED6C23,FFFFFF
5,"STIB/MIVB",4,"GARE DU NORD - STALLE (P)",,0,,EA4F80,000000
1,"STIB/MIVB",5,"ERASME - HERRMANN-DEBROUX",,1,,F6A90B,FFFFFF
4,"STIB/MIVB",6,"ROI BAUDOUIN - ELISABETH",,1,,0066A3,FFFFFF
8,"STIB/MIVB",7,"VANDERKINDERE - HEYSEL",,0,,EFE048,000000
9,"STIB/MIVB",8,"LOUISE - ROODEBEEK",,0,,169FDB,FFFFFF
10,"STIB/MIVB",9,"GROOT-BIJGAARDEN - ROI BAUDOUIN",,0,,C44F97,FFFFFF
6,"STIB/MIVB",10,"HOPITAL MILITAIRE - CHURCHILL",,0,,8F4199,FFFFFF
13,"STIB/MIVB",12,"BRUSSELS AIRPORT - BRUSSELS CITY",,3,,4C8B33,FFFFFF
15,"STIB/MIVB",13,"ETANGS NOIRS - UZ-VUB",,3,,91BEE7,000000
16,"STIB/MIVB",14,"UZ-VUB - GARE DU NORD",,3,,F29DC3,000000
18,"STIB/MIVB",17,"BEAULIEU - HEILIGENBORRE",,3,,E43C2E,FFFFFF
19,"STIB/MIVB",18,"ALBERT - VAN HAELEN",,0,,91BEE7,000000
20,"STIB/MIVB",19,"SIMONIS - DE WAND",,0,,E43C2E,FFFFFF
22,"STIB/MIVB",20,"HUNDERENVELD - GARE DU NORD",,3,,F3C300,000000
14,"STIB/MIVB",21,"MAES - LUXEMBOURG",,3,,FFDC01,000000
23,"STIB/MIVB",25,"BOONDAEL GARE - ROGIER",,0,,A12944,FFFFFF
24,"STIB/MIVB",27,"LUXEMBOURG - PLEIADES",,3,,91BEE7,000000
25,"STIB/MIVB",28,"BRABANCONNE - KONKEL",,3,,E43C2E,FFFFFF
26,"STIB/MIVB",29,"DE BROUCKERE - HOF TEN BERG",,3,,ED7807,FFFFFF
28,"STIB/MIVB",33,"DANSAERT - LOUISE",,3,,F29DC3,000000
29,"STIB/MIVB",34,"PORTE DE NAMUR - SAINTE-ANNE",,3,,F3C300,000000
31,"STIB/MIVB",35,"SCHAERBEEK GARE - ESPLANADE",,0,,336195,FFFFFF
32,"STIB/MIVB",36,"MAELBEEK - KONKEL",,3,,91BEE7,000000
33,"STIB/MIVB",37,"ALBERT - GARE DE LINKEBEEK",,3,,306196,FFFFFF
34,"STIB/MIVB",38,"GARE CENTRALE - HEROS",,3,,A67CB0,FFFFFF
35,"STIB/MIVB",39,"MONTGOMERY - BAN-EIK",,0,,E43C2E,FFFFFF
38,"STIB/MIVB",41,"HEROS - TRANSVAAL",,3,,91BEE7,000000
40,"STIB/MIVB",42,"ROODEBEEK - VIADUC E40",,3,,4C8B33,FFFFFF
41,"STIB/MIVB",43,"HEROS - VIVIER D'OIE",,3,,9B6018,FFFFFF
