table_name,field_name,language,translation,field_value
agency,agency_name,fr,STIB,STIB
agency,agency_name,nl,MIVB,STIB
agency,agency_url,fr,https://www.stib-mivb.be/index.htm?l=fr,https://www.stib-mivb.be
agency,agency_url,nl,https://www.stib-mivb.be/index.htm?l=nl,https://www.stib-mivb.be
stops,stop_name,fr,Abbaye,ABBAYE
stops,stop_name,nl,Abdij,ABBAYE
stops,stop_name,fr,Acacias,ACACIAS
stops,stop_name,nl,Acacia,ACACIAS
stops,stop_name,fr,ADEPS,ADEPS
stops,stop_name,nl,ADEPS,ADEPS
stops,stop_name,fr,Aérodrome,AERODROME
stops,stop_name,nl,Vliegveld,AERODROME
stops,stop_name,fr,Albert,ALBERT
stops,stop_name,nl,Albert,ALBERT
stops,stop_name,fr,Albert I,ALBERT I
stops,stop_name,nl,Albert I,ALBERT I
stops,stop_name,fr,Albert II,ALBERT II
stops,stop_name,nl,Albert II,ALBERT II
stops,stop_name,fr,Alcyons,ALCYONS
stops,stop_name,nl,Alcyons,ALCYONS
stops,stop_name,fr,Alma,ALMA
stops,stop_name,nl,Alma,ALMA
stops,stop_name,fr,Alphonse XIII,ALPHONSE XIII
stops,stop_name,nl,Alphonse XIII,ALPHONSE XIII
stops,stop_name,fr,Altitude Cent,ALTITUDE CENT
stops,stop_name,nl,Hoogte Honderd,ALTITUDE CENT
stops,stop_name,fr,Ambiorix,AMBIORIX
stops,stop_name,nl,Ambiorix,AMBIORIX
stops,stop_name,fr,Amélie Gomand,AMELIE GOMAND
stops,stop_name,nl,Amélie Gomand,AMELIE GOMAND
stops,stop_name,fr,Améthyste,AMETHYSTE
stops,stop_name,nl,Amethist,AMETHYSTE
stops,stop_name,fr,Amitié,AMITIE
stops,stop_name,nl,Vriendschap,AMITIE
stops,stop_name,fr,Anatole France,ANATOLE FRANCE
stops,stop_name,nl,Anatole France,ANATOLE FRANCE
stops,stop_name,fr,Ancienne Barrière,ANCIENNE BARRIERE
stops,stop_name,nl,Oude Afspanning,ANCIENNE BARRIERE
stops,stop_name,fr,Ancre,ANCRE
stops,stop_name,nl,Anker,ANCRE
stops,stop_name,fr,Andrée De Jongh,ANDREE DE JONGH
stops,stop_name,nl,Andrée De Jongh,ANDREE DE JONGH
stops,stop_name,fr,Andromède,ANDROMEDE
stops,stop_name,nl,Andromeda,ANDROMEDE
stops,stop_name,fr,Annecy,ANNECY
stops,stop_name,nl,Annecy,ANNECY
stops,stop_name,fr,Anneessens,ANNEESSENS
stops,stop_name,nl,Anneessens,ANNEESSENS
stops,stop_name,fr,Aquiris,AQUIRIS
stops,stop_name,nl,Aquiris,AQUIRIS
stops,stop_name,fr,Araucaria,ARAUCARIA
stops,stop_name,nl,Araucaria,ARAUCARIA
stops,stop_name,fr,Arbre Ballon,ARBRE BALLON
stops,stop_name,nl,Dikke Beuk,ARBRE BALLON
stops,stop_name,fr,Arbre Unique,ARBRE UNIQUE
stops,stop_name,nl,Eenboom,ARBRE UNIQUE
stops,stop_name,fr,Arcades,ARCADES
stops,stop_name,nl,Arcaden,ARCADES
stops,stop_name,fr,Archiducs,ARCHIDUCS
stops,stop_name,nl,Aartshertogen,ARCHIDUCS
stops,stop_name,fr,Arenberg,ARENBERG
stops,stop_name,nl,Arenberg,ARENBERG
stops,stop_name,fr,Ariane,ARIANE
stops,stop_name,nl,Ariane,ARIANE
stops,stop_name,fr,Aristide Briand,ARISTIDE BRIAND
stops,stop_name,nl,Aristide Briand,ARISTIDE BRIAND
stops,stop_name,fr,Arsenal,ARSENAL
stops,stop_name,nl,Arsenaal,ARSENAL
stops,stop_name,fr,Artémis,ARTEMIS
stops,stop_name,nl,Artémis,ARTEMIS
stops,stop_name,fr,Artistes,ARTISTES
stops,stop_name,nl,Kunstenaars,ARTISTES
stops,stop_name,fr,Arts et Métiers,ARTS ET METIERS
stops,stop_name,nl,Arts et Métiers,ARTS ET METIERS
stops,stop_name,fr,Arts-Loi,ARTS-LOI
stops,stop_name,nl,Kunst-Wet,ARTS-LOI
