k,i
1,
2,"[19, 21)"
3,"[74, 83)"
4,"[78, 82)"
5,"[38, 44)"
6,"[11, 15)"
7,"[3, 5)"
8,"[87, 88)"
9,"[68, 74)"
10,"[34, 43)"
11,"[30, 34)"
12,"[66, 70)"
13,"[87, 91)"
14,"[88, 96)"
15,"[74, 79)"
16,"[51, 57)"
17,"[83, 90)"
18,"[74, 80)"
19,"[59, 64)"
20,"[92, 101)"
21,"[14, 15)"
22,"[39, 41)"
23,"[20, 23)"
24,"[20, 28)"
25,"[84, 89)"
26,"[83, 85)"
27,"[95, 100)"
28,"[51, 59)"
29,"[82, 86)"
30,"[62, 68)"
31,"[84, 86)"
32,"[13, 20)"
33,"[82, 90)"
34,"[25, 29)"
35,"[39, 41)"
36,"[38, 43)"
37,"[21, 28)"
38,"[69, 73)"
39,"[2, 11)"
40,"[30, 38)"
41,"[44, 46)"
42,"[1, 5)"
43,"[61, 66)"
44,"[22, 26)"
45,"[90, 98)"
46,"[1, 8)"
47,"[95, 97)"
48,"[43, 51)"
49,"[2, 9)"
50,"[19, 23)"
51,"[85, 91)"
52,"[93, 94)"
53,"[33, 39)"
54,"[47, 51)"
55,"[53, 60)"
56,"[21, 30)"
57,"[88, 90)"
58,"[36, 41)"
59,"[72, 78)"
60,"[93, 99)"
61,"[40, 49)"
62,"[38, 42)"
63,"[9, 17)"
64,"[14, 15)"
65,"[48, 51)"
66,"[50, 54)"
67,"[89, 93)"
68,"[40, 43)"
69,"[6, 14)"
70,"[57, 63)"
71,"[62, 70)"
72,"[55, 60)"
73,"[99, 108)"
74,"[1, 8)"
75,"[48, 57)"
76,"[35, 43)"
77,"[88, 95)"
78,"[24, 33)"
79,"[53, 57)"
80,"[6, 7)"
81,"[70, 76)"
82,"[35, 41)"
83,"[98, 105)"
84,"[83, 84)"
85,"[60, 64)"
86,"[63, 66)"
87,"[19, 21)"
88,"[73, 75)"
89,"[9, 16)"
90,"[89, 95)"
91,"[68, 71)"
92,"[44, 50)"
93,"[96, 103)"
94,"[53, 58)"
95,"[6, 12)"
96,"[50, 57)"
97,"[15, 23)"
98,"[36, 38)"
99,"[58, 60)"
100,"[19, 21)"
