name,pop_max,geom
'Ataq,37315,0101000020E6100000E3E36E6B66664740B1659E019A192D40
's-Hertogenbosch,134520,0101000020E610000073BD6DA6424415405E52109777D74940
25 de Mayo,17430,0101000020E6100000ACC0351CBBEB50C05A9E077767E642C0
28 de Noviembre,5300,0101000020E610000042A38DF20D0E52C065E900DD6DCB49C0
Aalborg,122219,0101000020E61000007A75E9BA4BD523404236DABB50844C40
Aarau,15501,0101000020E61000007DE47BEB68112040286783A7EBB14740
Aba,897560,0101000020E61000002E04392861661D40D255BABBCE661440
Abadan,370180,0101000020E61000002674F27DCC2348407957E2A6AB543E40
Abadla,14364,0101000020E61000002B9B83B1CFDD05C03A4261AB5F043F40
Abaetetuba,79420,0101000020E6100000CB3049C0437148C0F52AD780AD97FBBF
Abakan,167289,0101000020E6100000E529ABE97ADC5640DF196D5512DA4A40
Abancay,55111,0101000020E6100000D06F4EDBF53852C01B5D4A0279472BC0
Abau,230,0101000020E610000099582AB9149262401844FF5FD01524C0
Abaza,18094,0101000020E61000002E84E6841A86564089B3226AA2554A40
Abaí,3024,0101000020E61000006B813D2652F84BC0F6589F1793073AC0
Abbotsford,151683,0101000020E6100000930D5AFE32935EC0133D3ABF72864840
Abbottabad,1183647,0101000020E6100000DD81959EC44C524006D26AED22134140
Abengourou,104020,0101000020E6100000EA31DB5F87EB0BC01822A7AFE7EB1A40
Abeokuta,593100,0101000020E6100000B0389CF9D5CC0A40D68ADB0D47A41C40
Aberdeen,32745,0101000020E6100000D229D9FB1EF45EC0E6BEE666C97C4740
Aberdeen,189364,0101000020E6100000A41B367324D700C0EB6009BC93924C40
Aberdeen,26041,0101000020E6100000F56CB136219F58C0A26538F988BB4640
Abha,210886,0101000020E6100000394EC06504404540E9B7AF03E73A3240
Abidjan,3802000,0101000020E61000003825C119B11410C0FA19A38FE14A1540
Abilene,114247,0101000020E6100000A89DABF7E5EE58C040D4C78D6C394040
Aboa Station,18,0101000020E6100000A8C244285BD52AC00726378A2CC352C0
