regionid,geom
1,0103000020110F0000010000003500000057A3C37ECD831D414F0AACD4401F5941EB5F91CAC9831D41552CF3003D1F59414A41CEBBBE831D4104AA833B391F594199ACC17BAC831D41E6897192351F5941CAA78C4E93831D415EEF6613321F59414F852B9273831D41E51771CB2E1F5941890917BD4D831D4107A2CFC62B1F5941D0278A5C22831D41ECD3C610291F5941F3C97212F2821D41308C75B3261F59416F521593BD821D41087AAFB7241F5941E7A96BA285821D41BB29DC24231F59410BA849114B821D417060DB00221F5941FD8251BA0E821D41862EEF4F211F594157A3C37ED1811D414F0AAC14211F5941B1C3354394811D41862EEF4F211F5941A39E3DEC57811D417060DB00221F5941C79C1B5B1D811D41BB29DC24231F59413FF4716AE5801D41087AAFB7241F5941BB7C14EBB0801D41308C75B3261F5941DE1EFDA080801D41ECD3C610291F5941253D704055801D4107A2CFC62B1F59415FC15B6B2F801D41E51771CB2E1F5941E49EFAAE0F801D415EEF6613321F5941159AC581F67F1D41E6897192351F59416405B941E47F1D4104AA833B391F5941C3E6F532D97F1D41552CF3003D1F594157A3C37ED57F1D414F0AACD4401F5941C3E6F532D97F1D4149E864A8441F59416405B941E47F1D419A6AD46D481F5941159AC581F67F1D41B88AE6164C1F5941E49EFAAE0F801D414025F1954F1F59415FC15B6B2F801D41B9FCE6DD521F5941253D704055801D41977288E2551F5941DE1EFDA080801D41B2409198581F5941BB7C14EBB0801D416E88E2F55A1F59413FF4716AE5801D41969AA8F15C1F5941C79C1B5B1D811D41E3EA7B845E1F5941A39E3DEC57811D412EB47CA85F1F5941B1C3354394811D4118E66859601F594157A3C37ED1811D414F0AAC94601F5941FD8251BA0E821D4118E66859601F59410BA849114B821D412EB47CA85F1F5941E7A96BA285821D41E3EA7B845E1F59416F521593BD821D41969AA8F15C1F5941F3C97212F2821D416E88E2F55A1F5941D0278A5C22831D41B2409198581F5941890917BD4D831D41977288E2551F59414F852B9273831D41B9FCE6DD521F5941CAA78C4E93831D414025F1954F1F594199ACC17BAC831D41B88AE6164C1F59414A41CEBBBE831D419A6AD46D481F5941EB5F91CAC9831D4149E864A8441F594157A3C37ECD831D414F0AACD4401F5941
2,0103000020110F0000010000003100000082DA3AE9FAA01D41E3EB63EEE12B594136F349C2D8A01D41D0DE6B5DC12B594135570FE372A01D4140AB195BA12B59416412C409CB9F1D411656A273822B594189939F15E49E1D41E3EB632E652B5941394143FAC19D1D412590940B4A2B5941024D6BAE699C1D41BBE41082312B594167963016E19A1D41786553FD1B2B594182DA3AE92E991D4153A09DDB092B5941513754955A971D4165585B6CFB2A5941B5E4DE1D6C951D4118A4C6EEF02A5941ADABBBF86B931D4158FAD290EA2A594182DA3AE962911D41E3EB636EE82A59415709BAD9598F1D4158FAD290EA2A59414FD096B4598D1D4118A4C6EEF02A5941B37D213D6B8B1D4165585B6CFB2A594182DA3AE996891D4153A09DDB092B59419D1E45BCE4871D41786553FD1B2B594102680A245C861D41BBE41082312B5941CB7332D803851D412590940B4A2B59417B21D6BCE1831D41E3EB632E652B5941A0A2B1C8FA821D411656A273822B5941CF5D66EF52821D4140AB195BA12B5941CEC12B10ED811D41D0DE6B5DC12B594182DA3AE9CA811D41E3EB63EEE12B5941CEC12B10ED811D41F6F85B7F022C5941CF5D66EF52821D41862CAE81222C5941A0A2B1C8FA821D41B0812569412C59417B21D6BCE1831D41E3EB63AE5E2C5941CB7332D803851D41A14733D1792C594102680A245C861D410BF3B65A922C59419D1E45BCE4871D414E7274DFA72C594182DA3AE996891D4173372A01BA2C5941B37D213D6B8B1D41617F6C70C82C59414FD096B4598D1D41AE3301EED22C59415709BAD9598F1D416EDDF44BD92C594182DA3AE962911D41E3EB636EDB2C5941ADABBBF86B931D416EDDF44BD92C5941B5E4DE1D6C951D41AE3301EED22C5941513754955A971D41617F6C70C82C594182DA3AE92E991D4173372A01BA2C594167963016E19A1D414E7274DFA72C5941024D6BAE699C1D410BF3B65A922C5941394143FAC19D1D41A14733D1792C594189939F15E49E1D41E3EB63AE5E2C59416412C409CB9F1D41B0812569412C594135570FE372A01D41862CAE81222C594136F349C2D8A01D41F6F85B7F022C594182DA3AE9FAA01D41E3EB63EEE12B5941
3,0103000020110F000001000000090000001A7790C139B21D41BC3B986B49325941371B9F0042AE1D417A51A727B03159411A7790C1ADA41D41BC3B98AB70315941FDD28182199B1D417A51A727B03159411A7790C121971D41BC3B986B49325941FDD28182199B1D41FE2589AFE23259411A7790C1ADA41D41BC3B982B22335941371B9F0042AE1D41FE2589AFE23259411A7790C139B21D41BC3B986B49325941
4,0103000020110F0000010000000900000058AED1DD37CA1D4141E8DEBD332F5941BFE6FF4241C81D41BB048CE7E72E594158AED1DD83C31D4141E8DE7DC82E5941F175A378C6BE1D41BB048CE7E72E594158AED1DDCFBC1D4141E8DEBD332F5941F175A378C6BE1D41C7CB31947F2F594158AED1DD83C31D4141E8DEFD9E2F5941BFE6FF4241C81D41C7CB31947F2F594158AED1DD37CA1D4141E8DEBD332F5941
5,0103000020110F0000010000004D00000020A064AE9D6D1D41336168B8931C5941BD7ED73F9B6D1D41BBF0A90B901C5941AEC870F8936D1D41FC9D58658C1C59417018EBE4876D1D41CD49D6CB881C59416DB2641A776D1D41EB6E6E45851C5941DB963AB6616D1D41E61F4BD8811C59416F28D5DD476D1D41843F6A8A7E1C5941C5C166BE296D1D415C0693617B1C5941D6AB9C8C076D1D4117E84B63781C5941B9FF4284E16C1D41E9E9D094751C5941C114DCE7B76C1D41397B0AFB721C5941DA312C008B6C1D4178E0849A701C5941894DBA1B5B6C1D41193F68776E1C594112BB468E286C1D41AE5871956C1C5941ECB438B0F36B1D41C701EBF76A1C5941A3C403DEBC6B1D410E60A8A1691C59417A168677846B1D41AEF9FF94681C59418CD360DF4A6B1D41AA9EC7D3671C59419CA74B7A106B1D414933515F671C594120A064AED56A1D4133616838671C5941A4987DE29A6A1D414933515F671C5941B46C687D606A1D41AA9EC7D3671C5941C62943E5266A1D41AEF9FF94681C59419D7BC57EEE691D410E60A8A1691C5941548B90ACB7691D41C701EBF76A1C59412E8582CE82691D41AE5871956C1C5941B7F20E4150691D41193F68776E1C5941660E9D5C20691D4178E0849A701C59417F2BED74F3681D41397B0AFB721C5941874086D8C9681D41E9E9D094751C59416A942CD0A3681D4117E84B63781C59417B7E629E81681D415C0693617B1C5941D117F47E63681D41843F6A8A7E1C594165A98EA649681D41E61F4BD8811C5941D38D644234681D41EB6E6E45851C5941D027DE7723681D41CD49D6CB881C59419277586417681D41FC9D58658C1C594183C1F11C10681D41BBF0A90B901C594120A064AE0D681D41336168B8931C594183C1F11C10681D41ABD12665971C59419277586417681D416A24780B9B1C5941D027DE7723681D419978FAA49E1C5941D38D644234681D417B53622BA21C594165A98EA649681D4180A28598A51C5941D117F47E63681D41E28266E6A81C59417B7E629E81681D410ABC3D0FAC1C59416A942CD0A3681D414FDA840DAF1C5941874086D8C9681D417DD8FFDBB11C59417F2BED74F3681D412D47C675B41C5941660E9D5C20691D41EEE14BD6B61C5941B7F20E4150691D414D8368F9B81C59412E8582CE82691D41B8695FDBBA1C5941548B90ACB7691D419FC0E578BC1C59419D7BC57EEE691D41586228CFBD1C5941C62943E5266A1D41B8C8D0DBBE1C5941B46C687D606A1D41BC23099DBF1C5941A4987DE29A6A1D411D8F7F11C01C594120A064AED56A1D4133616838C01C59419CA74B7A106B1D411D8F7F11C01C59418CD360DF4A6B1D41BC23099DBF1C59417A168677846B1D41B8C8D0DBBE1C5941A3C403DEBC6B1D41586228CFBD1C5941ECB438B0F36B1D419FC0E578BC1C594112BB468E286C1D41B8695FDBBA1C5941894DBA1B5B6C1D414D8368F9B81C5941DA312C008B6C1D41EEE14BD6B61C5941C114DCE7B76C1D412D47C675B41C5941B9FF4284E16C1D417DD8FFDBB11C5941D6AB9C8C076D1D414FDA840DAF1C5941C5C166BE296D1D410ABC3D0FAC1C59416F28D5DD476D1D41E28266E6A81C5941DB963AB6616D1D4180A28598A51C59416DB2641A776D1D417B53622BA21C59417018EBE4876D1D419978FAA49E1C5941AEC870F8936D1D416A24780B9B1C5941BD7ED73F9B6D1D41ABD12665971C594120A064AE9D6D1D41336168B8931C5941
6,0103000020110F000001000000190000003270B2F37F4F1D41BC1750A7B01E5941365B3DBC0D4F1D411570546E7A1E594153027DDEBE4D1D41BC1750E7471E5941C2E0822CAA4B1D41B310C3831C1E59413270B2F3F3481D419A6EA338FB1D5941A6EA6C83CB451D410C69C74AE61D59413270B2F367421D41BC175027DF1D5941BEF5F763043F1D410C69C74AE61D59413270B2F3DB3B1D419A6EA338FB1D5941A2FFE1BA25391D41B310C3831C1E594111DEE70811371D41BC1750E7471E59412E85272BC2351D411570546E7A1E59413270B2F34F351D41BC1750A7B01E59412E85272BC2351D4163BF4BE0E61E594111DEE70811371D41BC175067191F5941A2FFE1BA25391D41C51EDDCA441F59413270B2F3DB3B1D41DEC0FC15661F5941BEF5F763043F1D416CC6D8037B1F59413270B2F367421D41BC175027821F5941A6EA6C83CB451D416CC6D8037B1F59413270B2F3F3481D41DEC0FC15661F5941C2E0822CAA4B1D41C51EDDCA441F594153027DDEBE4D1D41BC175067191F5941365B3DBC0D4F1D4163BF4BE0E61E59413270B2F37F4F1D41BC1750A7B01E5941
7,0103000020110F000001000000390000000D8A217D02531D419A6A2E6BF8215941AFAF03B7E9521D4160D4F0D8DC215941709C6BB49F521D41E02D769FC1215941E6009D6325521D41C9A56316A7215941FCB35E4E7C511D41A08026938D21594199FE0695A6501D41F213E167752159418032A3E7A64F1D41415B62E25E215941FF95507D804E1D41DB792B4B4A2159419A7FE209374D1D41135086E4372159418FF4F6B1CE4B1D415113B0E927215941B329A0FD4B4A1D41FB971A8E1A21594116D7CDC9B3481D412CB3C6FC0F215941AB55A5380B471D4174C9B95708215941B4EDFAA057451D41404890B7032159410D8A217D9E431D419A6A2E2B0221594166264859E5411D41404890B7032159416FBE9DC131401D4174C9B95708215941043D7530893E1D412CB3C6FC0F21594167EAA2FCF03C1D41FB971A8E1A2159418B1F4C486E3B1D415113B0E927215941809460F0053A1D41135086E4372159411B7EF27CBC381D41DB792B4B4A2159419AE19F1296371D41415B62E25E21594181153C6596361D41F213E167752159411E60E4ABC0351D41A08026938D2159413413A69617351D41C9A56316A7215941AA77D7459D341D41E02D769FC12159416B643F4353341D4160D4F0D8DC2159410D8A217D3A341D419A6A2E6BF82159416B643F4353341D41D4006CFD13225941AA77D7459D341D4154A7E6362F2259413413A69617351D416B2FF9BF492259411E60E4ABC0351D41945436436322594181153C6596361D4142C17B6E7B2259419AE19F1296371D41F379FAF3912259411B7EF27CBC381D41595B318BA6225941809460F0053A1D412185D6F1B82259418B1F4C486E3B1D41E3C1ACECC822594167EAA2FCF03C1D41393D4248D6225941043D7530893E1D41082296D9E02259416FBE9DC131401D41C00BA37EE822594166264859E5411D41F48CCC1EED2259410D8A217D9E431D419A6A2EABEE225941B4EDFAA057451D41F48CCC1EED225941AB55A5380B471D41C00BA37EE822594116D7CDC9B3481D41082296D9E0225941B329A0FD4B4A1D41393D4248D62259418FF4F6B1CE4B1D41E3C1ACECC82259419A7FE209374D1D412185D6F1B8225941FF95507D804E1D41595B318BA62259418032A3E7A64F1D41F379FAF39122594199FE0695A6501D4142C17B6E7B225941FCB35E4E7C511D419454364363225941E6009D6325521D416B2FF9BF49225941709C6BB49F521D4154A7E6362F225941AFAF03B7E9521D41D4006CFD132259410D8A217D02531D419A6A2E6BF8215941
8,0103000020110F00000100000061000000D078B0B571071E41D21030B3DF305941EAE42D2771071E4165591CA3DE3059419162427C6F071E415DE43294DD3059418AF2C1B66C071E4127AD9C87DC305941FF5BB6D968071E41AC22807EDB305941DED75BE963071E418AE4FF79DA3059414B6C1CEB5D071E418084397BD930594135FD89E556071E415B4D4483D83059419D1857E04E071E41D2103093D730594167864EE445071E4187FD03ACD6305941F4A449FB3B071E41887EBDCED5305941289D253031071E417E254FFCD43059419A79B78E25071E41C5A09F35D43059410E2EBF2319071E418DBE887BD33059416B9DD9FC0B071E41107ED6CED230594179AD7128FE061E41F92F4630D2305941D078B0B5EF061E41D5A685A0D130594141B06CB4E0061E418C783220D1305941F63D1935D1061E419A51D9AFD03059414B3DB348C1061E41E15AF54FD0305941355BAF00B1061E419FB2EF00D030594187B3E66EA0061E4136F91EC3CF305941274083A58F061E4136F2C696CF3059419EEFEBB67E061E41103A187CCF305941D078B0B56D061E41D2103073CF305941020275B45C061E41103A187CCF30594179B1DDC54B061E4136F2C696CF305941193E7AFC3A061E4136F91EC3CF3059416B96B16A2A061E419FB2EF00D030594155B4AD221A061E41E15AF54FD0305941AAB347360A061E419A51D9AFD03059415F41F4B6FA051E418C783220D1305941D078B0B5EB051E41D5A685A0D13059412744EF42DD051E41F92F4630D23059413554876ECF051E41107ED6CED230594192C3A147C2051E418DBE887BD33059410678A9DCB5051E41C5A09F35D430594178543B3BAA051E417E254FFCD4305941AC4C17709F051E41887EBDCED5305941396B128795051E4187FD03ACD630594103D9098B8C051E41D2103093D73059416BF4D68584051E415B4D4483D8305941558544807D051E418084397BD9305941C219058277051E418AE4FF79DA305941A195AA9172051E41AC22807EDB30594116FF9EB46E051E4127AD9C87DC3059410F8F1EEF6B051E415DE43294DD305941B60C33446A051E4165591CA3DE305941D078B0B569051E41D21030B3DF305941B60C33446A051E413FC843C3E03059410F8F1EEF6B051E41473D2DD2E130594116FF9EB46E051E417D74C3DEE2305941A195AA9172051E41F8FEDFE7E3305941C219058277051E411A3D60ECE4305941558544807D051E41249D26EBE53059416BF4D68584051E4149D41BE3E630594103D9098B8C051E41D21030D3E7305941396B128795051E411D245CBAE8305941AC4C17709F051E411CA3A297E930594178543B3BAA051E4126FC106AEA3059410678A9DCB5051E41DF80C030EB30594192C3A147C2051E411763D7EAEB3059413554876ECF051E4194A38997EC3059412744EF42DD051E41ABF11936ED305941D078B0B5EB051E41CF7ADAC5ED3059415F41F4B6FA051E4118A92D46EE305941AAB347360A061E410AD086B6EE30594155B4AD221A061E41C3C66A16EF3059416B96B16A2A061E41056F7065EF305941193E7AFC3A061E416E2841A3EF30594179B1DDC54B061E416E2F99CFEF305941020275B45C061E4194E747EAEF305941D078B0B56D061E41D21030F3EF3059419EEFEBB67E061E4194E747EAEF305941274083A58F061E416E2F99CFEF30594187B3E66EA0061E416E2841A3EF305941355BAF00B1061E41056F7065EF3059414B3DB348C1061E41C3C66A16EF305941F63D1935D1061E410AD086B6EE30594141B06CB4E0061E4118A92D46EE305941D078B0B5EF061E41CF7ADAC5ED30594179AD7128FE061E41ABF11936ED3059416B9DD9FC0B071E4194A38997EC3059410E2EBF2319071E411763D7EAEB3059419A79B78E25071E41DF80C030EB305941289D253031071E4126FC106AEA305941F4A449FB3B071E411CA3A297E930594167864EE445071E411D245CBAE83059419D1857E04E071E41D21030D3E730594135FD89E556071E4149D41BE3E63059414B6C1CEB5D071E41249D26EBE5305941DED75BE963071E411A3D60ECE4305941FF5BB6D968071E41F8FEDFE7E33059418AF2C1B66C071E417D74C3DEE23059419162427C6F071E41473D2DD2E1305941EAE42D2771071E413FC843C3E0305941D078B0B571071E41D21030B3DF305941
9,0103000020110F0000010000001500000090DD00CC2B351E41EFF866A9EC28594166DAA0D3F2341E41340D452ED628594147991F7E4D341E41CC5C7DE6C1285941BD9F9AFA4B331E41340D45CEB128594147991F7E07321E4122F9EC78A728594190DD00CC9F301E41EFF866E9A3285941D921E219382F1E4122F9EC78A7285941631B679DF32D1E41340D45CEB1285941D921E219F22C1E41CC5C7DE6C1285941BAE060C44C2C1E41340D452ED628594190DD00CC132C1E41EFF866A9EC285941BAE060C44C2C1E41AAE4882403295941D921E219F22C1E411295506C17295941631B679DF32D1E41AAE4888427295941D921E219382F1E41BCF8E0D93129594190DD00CC9F301E41EFF866693529594147991F7E07321E41BCF8E0D931295941BD9F9AFA4B331E41AAE488842729594147991F7E4D341E411295506C1729594166DAA0D3F2341E41AAE488240329594190DD00CC2B351E41EFF866A9EC285941
10,0103000020110F000001000000590000000B63109A50251D41E6B33ED54F225941D594CE684F251D41FD9F0EBF4D225941C26097D64B251D41896797AB4B225941036313E845251D41EC588E9D49225941A689FFA43D251D410FADA197472259416AFC221833251D412808759C45225941660D414F26251D415E089EAE43225941C944075B17251D41AFE6A0D0412259412F9FF74E06251D418B2EED0440225941E21A4F41F3241D416390DA4D3E2259413EB5E84ADE241D4163D3A5AD3C22594110FE1C87C7241D4136EA6D263B2259413C6B9E13AF241D41C32E31BA39225941339B521095241D4169C8CA6A38225941BFB8289F79241D412440F039372259417636EDE35C241D41CA452F29362259418B1B1B043F241D4140A9EB3935225941EE1EAB2620241D41508A5D6D342259417ED0E07300241D417CC18FC433225941A6121615E0231D41E7835E4033225941E3288534BF231D410B4476E13222594199A111FD9D231D41C9D052A8322259410B63109A7C231D41E6B33E95322259417D240F375B231D41C9D052A832225941339D9BFF39231D410B4476E13222594170B30A1F19231D41E7835E403322594198F53FC0F8221D417CC18FC43322594128A7750DD9221D41508A5D6D342259418BAA0530BA221D4140A9EB3935225941A08F33509C221D41CA452F2936225941570DF8947F221D412440F03937225941E32ACE2364221D4169C8CA6A38225941DA5A82204A221D41C32E31BA3922594106C803AD31221D4136EA6D263B225941D81038E91A221D4163D3A5AD3C22594134ABD1F205221D416390DA4D3E225941E72629E5F2211D418B2EED04402259414D8119D9E1211D41AFE6A0D041225941B0B8DFE4D2211D415E089EAE43225941ACC9FD1BC6211D412808759C45225941703C218FBB211D410FADA1974722594113630D4CB3211D41EC588E9D492259415465895DAD211D41896797AB4B225941413152CBA9211D41FD9F0EBF4D2259410B63109AA8211D41E6B33ED54F225941413152CBA9211D41CFC76EEB512259415465895DAD211D414300E6FE5322594113630D4CB3211D41E00EEF0C56225941703C218FBB211D41BDBADB1258225941ACC9FD1BC6211D41A45F080E5A225941B0B8DFE4D2211D416E5FDFFB5B2259414D8119D9E1211D411D81DCD95D225941E72629E5F2211D41413990A55F22594134ABD1F205221D4169D7A25C61225941D81038E91A221D416994D7FC6222594106C803AD31221D41967D0F8464225941DA5A82204A221D4109394CF065225941E32ACE2364221D41639FB23F67225941570DF8947F221D41A8278D7068225941A08F33509C221D4102224E81692259418BAA0530BA221D418CBE91706A22594128A7750DD9221D417CDD1F3D6B22594198F53FC0F8221D4150A6EDE56B22594170B30A1F19231D41E5E31E6A6C225941339D9BFF39231D41C12307C96C2259417D240F375B231D4103972A026D2259410B63109A7C231D41E6B33E156D22594199A111FD9D231D4103972A026D225941E3288534BF231D41C12307C96C225941A6121615E0231D41E5E31E6A6C2259417ED0E07300241D4150A6EDE56B225941EE1EAB2620241D417CDD1F3D6B2259418B1B1B043F241D418CBE91706A2259417636EDE35C241D4102224E8169225941BFB8289F79241D41A8278D7068225941339B521095241D41639FB23F672259413C6B9E13AF241D4109394CF06522594110FE1C87C7241D41967D0F84642259413EB5E84ADE241D416994D7FC62225941E21A4F41F3241D4169D7A25C612259412F9FF74E06251D41413990A55F225941C944075B17251D411D81DCD95D225941660D414F26251D416E5FDFFB5B2259416AFC221833251D41A45F080E5A225941A689FFA43D251D41BDBADB1258225941036313E845251D41E00EEF0C56225941C26097D64B251D414300E6FE53225941D594CE684F251D41CFC76EEB512259410B63109A50251D41E6B33ED54F225941
