k,temp
1,0101000020A41E000098B918C78DCB32C09CD06F0FF99D4340@2001-01-31 00:19:00+01
2,0104000020A41E0000020000000101000000F83CAD7B35FC60400C76D53A04BB34C00101000000A5C0E91046A66040B171FAC8A5173CC0@2001-05-15 21:44:00+02
3,0102000020A41E000002000000804A7CB7F5C5444066A74FA1280E53405913B4D0FCB7474047A32A83F5C55240@2001-06-09 06:39:00+02
4,0101000020A41E0000CA68FDD9505B50400D3A14C3B2DB44C0@2001-06-08 19:20:00+02
5,0102000020A41E000002000000591CEA10ECA85CC090802F90F47044409A2B17F7DEA55AC0C409043647924340@2001-07-10 15:34:00+02
6,0101000020A41E0000106B5D19D470654098C40D4B865A29C0@2001-06-19 22:29:00+02
7,0102000020A41E0000020000006451D431CD1066401C74C7033B9B3CC00ECA0CE8726B65401B2F3449F35234C0@2001-10-15 18:43:00+02
8,0102000020A41E000002000000E0CDFB5D17744040B04431FB80E31740362A78E02F5541403470DBC5DD2E03C0@2001-05-12 21:22:00+02
9,0101000020A41E000066095893740E64400880013B61623840@2001-12-05 00:25:00+01
10,0104000020A41E0000020000000101000000D438F52D26915C40DC9DFC98FCCE524001010000000C41FC01FDCC5B40C0064C353A8A5240@2001-04-18 21:49:00+02
11,0102000020A41E0000020000008A98D6DC1B326640B2640BFB85565540B214B699BBFF6440E19D9051FEB75340@2001-04-16 04:26:00+02
12,0104000020A41E000002000000010100000090731E72D0E862407C27B39FFDA047C00101000000DEBC983350B663404DF5157A71564BC0@2001-06-09 11:31:00+02
13,0102000020A41E000002000000B8468F957E0D39C0087AB32A415B4F4022F0E77C475B41C02835A97F90485140@2001-07-06 23:52:00+02
14,0102000020A41E0000020000005F58AEE0833555C0F431BEC57F5A32C01E15C07EB47257C04DC7A26424D73BC0@2001-08-10 14:57:00+02
15,0101000020A41E0000A005D8AEDC7A44C080FFA45FC041EABF@2001-11-12 00:17:00+01
16,0104000020A41E000002000000010100000010060D2AA7EF644074D183FC355D35400101000000C7DCD65D8AA464409A2C684D05DE3940@2001-05-09 02:34:00+02
17,0104000020A41E000002000000010100000070BA3AACA51659404E12E144FEEE544001010000004C10344B651E5740231B7A7C1DC15540@2001-10-03 04:51:00+02
18,0101000020A41E0000887A70B8E15845C0905DACA9EFBA43C0@2001-08-10 21:55:00+02
19,0101000020A41E00000C99720D7AE950405D023B5259FD53C0@2001-11-07 23:27:00+01
20,0102000020A41E000002000000AC1351A60B2744C0481F6D3D1AFF32400ED458F73B6241C0F0EE648AF3792640@2001-02-17 06:29:00+01
21,0101000020A41E0000540EC7D0A82858C028B63B6672D64D40@2001-07-24 22:56:00+02
22,0101000020A41E0000F196A8C9EA2A5BC030E083AD082F37C0@2001-01-09 23:58:00+01
23,0104000020A41E0000020000000101000000D598C515F89454C09491B44DCCD53B40010100000026D94F72DE4D53C054F34F855AC13240@2001-08-29 09:53:00+02
24,0102000020A41E000002000000DABFDF64096756C040233737E4C7F23F1D52CA19FB0758C07CC3CF6B5E43FBBF@2001-01-30 07:01:00+01
25,0104000020A41E0000020000000101000000527BD73C9D75654032C0F2745295534001010000001731ABD665666640E85410300A415340@2001-11-08 09:06:00+01
26,{0101000020A41E0000F6D468432B7866C0A628C01D421543C0@2001-10-11 22:30:00+02}
27,"{0101000020A41E00009CF54A7A914D46C07DC0DFABA9E340C0@2001-07-19 18:56:00+02, 0102000020A41E000002000000D4DD421C6F0A5340CCF2F28E8B235540BC09245518665240E610138EC7005340@2001-07-19 18:58:00+02, 0104000020A41E000002000000010100000048E487780926534017A6164EBDBF55C001010000003A446BF2594E524081CEA6972AF053C0@2001-07-19 19:04:00+02, 0101000020A41E0000ECC0B1B8287E4240768E7C1E89B23DC0@2001-07-19 19:10:00+02, 0102000020A41E000002000000F095E0027B1E43C01F42594E24B755C0E06F227848B23DC06DD0A87F3F1254C0@2001-07-19 19:20:00+02, 0104000020A41E0000020000000101000000E0E8B40F35D73040A87BA909F07C5140010100000035150C8B1649344058B1C74EA5374F40@2001-07-19 19:26:00+02, 0101000020A41E000048D7F700F2173C401495DC4C0EBB41C0@2001-07-19 19:32:00+02}"
28,"{0101000020A41E0000B8FC0A026FB543C090E4FB267AC654C0@2001-07-26 06:35:00+02, 0102000020A41E00000200000050B94E7F86963EC07893E840584251405E9ABE6FCCAD43C02624A6F5FAAB5140@2001-07-26 06:37:00+02, 0104000020A41E000002000000010100000030FE419496DB27407C9709A9B7694CC0010100000072DC07C51F243040C2727B7366C84AC0@2001-07-26 06:41:00+02, 0101000020A41E0000A0C487D231F45B40E6917E1869A04AC0@2001-07-26 06:50:00+02}"
29,"{0101000020A41E000022255971D6E44CC0F0ADC5470EF412C0@2001-05-07 23:51:00+02, 0102000020A41E0000020000000478A03A78385540D0C6DD292CE33440A568676B57105540047C3D5E77003C40@2001-05-07 23:58:00+02, 0104000020A41E0000020000000101000000F8C14A16897D524000F09DB5F27A93BF0101000000A40D60090A355340412DD92A9B7C1CC0@2001-05-08 00:08:00+02, 0101000020A41E0000D1D3ACF4430165C0884F22CB45A432C0@2001-05-08 00:14:00+02, 0102000020A41E000002000000D0C7E48F482F2DC0F89EDE15F67A30C06CDF72415E1F30C0B029AAC74DEB2EC0@2001-05-08 00:18:00+02, 0104000020A41E00000200000001010000005CC2EEF87AC45A402051C2CFF9EC29C001010000004D1BD10F36B4584018D8DFB2A7FC12C0@2001-05-08 00:23:00+02, 0101000020A41E0000B078B4CE104D5F4069F5CBD2D3DB44C0@2001-05-08 00:31:00+02}"
30,"{0101000020A41E0000A48C84EA3C595EC00262EFF0C0155540@2001-08-08 16:59:00+02, 0102000020A41E00000200000018E5911BEAA035C09824E4D211F952C0AAA82468D38437C02661CFCBEDD253C0@2001-08-08 17:02:00+02, 0104000020A41E0000020000000101000000CE947897FF0752405C90FC427C9643C00101000000823810B6E7215140F8DB7FA9D1B245C0@2001-08-08 17:11:00+02, 0101000020A41E000054A5BE231FFE46C00CC424AB6DB44640@2001-08-08 17:14:00+02, 0102000020A41E000002000000E4603F7083C35540B0DF0DE209A62E40CCC63E66E2385640AEB8966164383640@2001-08-08 17:21:00+02, 0104000020A41E0000020000000101000000CC58ACE41E4B5C40A83131AB15AD3AC0010100000028818970A6865B40B8609A22CF3D42C0@2001-08-08 17:22:00+02}"
31,"{0101000020A41E00007C6460DB6264484084BA6F7656D35540@2001-07-21 19:26:00+02, 0102000020A41E000002000000B43A576EECC66440D593339BEA9742C027D64DBE4EF464409998527395FB46C0@2001-07-21 19:27:00+02}"
32,"{0101000020A41E0000B461424945984840FE8F0EF37A195340@2001-02-04 05:16:00+01, 0102000020A41E000002000000C09A27EA417A13406826E4FBB13C4040BCD25D528422FABF4D328E0F26FA3B40@2001-02-04 05:21:00+01, 0104000020A41E0000020000000101000000A258AB90E2B556C02C3E0E49026D494001010000003011063FCC7A56C06A5EBC3BA1F24740@2001-02-04 05:29:00+01, 0101000020A41E00009084FD9AE6A760C0B8056F6BC14052C0@2001-02-04 05:39:00+01}"
