k,temp
1,0104000020E40E000002000000010100000022D81AC1C9F654C01A38905FF39957400101000000743EDD9C1C1053C0C73048A85E975540@2001-10-15 17:59:00+02
2,0104000020E40E0000020000000101000000AE69770DC93956C01CA6BA3DFC9441C001010000004C487230789455C01DB6DCA71CF83BC0@2001-05-04 07:03:00+02
3,0102000020E40E000002000000504A44C5EE262CC0886DB51F4EFE5040C0068B39028E32C02615284DAD035240@2001-11-06 22:51:00+01
4,0102000020E40E000002000000404AE662B9C124C0B88E87B73D3D26C078A7523C82E92EC09403A27AC7F825C0@2001-05-15 16:31:00+02
5,0101000020E40E00008C3691ED158240C036413914AF0F46C0@2001-04-16 09:21:00+02
6,0102000020E40E0000020000008AD03C81AC4145C022A9FBDA035554C0BACCF94E0CE342C027454650CE0853C0@2001-08-01 05:09:00+02
7,0101000020E40E000058965BC21CB53F40407DBA40FF9E2640@2001-04-16 01:12:00+02
8,0101000020E40E0000F0EE4A9C748C4140D47D0FEB0A5C3940@2001-06-30 16:29:00+02
9,0101000020E40E000000A8168279BDB13FF047BF6D55F11FC0@2001-11-24 18:02:00+01
10,0101000020E40E00002EE6DDEB76CC5840E4EC8F5FAEF14A40@2001-03-27 18:56:00+02
11,0102000020E40E000002000000E682026056A358C072AD7BBAF82450404E6B1BE6877F58C0B4E747333E995240@2001-12-09 09:17:00+01
12,0104000020E40E0000020000000101000000BE0D1A022E2A48C0B0DB4637B67C3940010100000010A1305CFBC24CC09E2E2B689E753240@2001-03-19 17:38:00+01
13,0101000020E40E0000FA57E0321DDC5440E6627FC3174441C0@2001-04-12 20:12:00+02
14,0102000020E40E000002000000A429B4C7B3614640686170728893524048E1978C42FB4A40764ED646F16E5140@2001-10-24 01:27:00+02
15,0104000020E40E0000020000000101000000981A1AF1556E38C000B1D78B96F8574001010000003CBF75D580BD38C0021AFC7DE8375740@2001-09-20 22:08:00+02
16,0101000020E40E0000389E3C323C3928C0D11EB5847D0A54C0@2001-08-27 00:15:00+02
17,0101000020E40E0000346478293CE74D40D06871A5462A28C0@2001-06-16 05:10:00+02
18,0101000020E40E000090BC4E1E47E9284039CC858CAD6857C0@2001-04-18 00:55:00+02
19,0104000020E40E000002000000010100000038FEB17CAAAD30406C487B63FA5639C00101000000C8ABBF465D0237405EE06A3295D436C0@2001-03-21 15:48:00+01
20,0102000020E40E000002000000641E16FC5BA440C080EF3989876D2140FA9D93EF081C41C08F9B6CE503D21A40@2001-10-28 05:30:00+01
21,0102000020E40E000002000000771F4D2B16F652C0504FDD3BBB8E494012D11D04607753C07BDE80CA13CF4440@2001-07-15 18:55:00+02
22,0104000020E40E00000200000001010000006A8788605FB049C0D0A733ECF426584001010000002588C2E55FE04CC06DFE27AD2C975740@2001-10-09 01:20:00+02
23,0104000020E40E0000020000000101000000F80BDB950CC54A40EA3A814601984CC001010000008D4920FF0FDD4C40E94F5C4E10D04EC0@2001-10-17 16:43:00+02
24,0101000020E40E00001E56FF37055348C0EC2C50F6316B5640@2001-07-20 11:06:00+02
25,0101000020E40E0000BC74991247484840C4D7B4A57DE34C40@2001-11-30 03:24:00+01
