k,i
1,
2,"{[32, 36), [39, 44), [57, 62), [63, 65), [86, 88)}"
3,"{[2, 6), [11, 13), [35, 37), [42, 43), [49, 53), [57, 59), [71, 73), [81, 86), [89, 94)}"
4,"{[0, 3), [12, 13), [24, 29), [34, 38), [40, 44), [47, 52), [63, 68), [75, 78), [81, 82), [93, 98)}"
5,"{[20, 24), [33, 37), [41, 42), [48, 51), [63, 66), [72, 74), [82, 87), [93, 98)}"
6,"{[1, 6), [15, 20), [40, 45), [53, 56), [78, 80), [90, 93)}"
7,"{[29, 31), [39, 40), [56, 59), [74, 78), [83, 87), [89, 94)}"
8,"{[26, 30), [41, 43), [54, 57), [69, 71), [73, 77)}"
9,"{[1, 3), [33, 36), [45, 48), [65, 68), [74, 79), [84, 86), [93, 98)}"
10,"{[4, 6), [14, 16), [37, 39), [46, 49), [53, 57), [60, 62), [95, 100)}"
11,"{[3, 8), [15, 17), [24, 28), [34, 36), [39, 42), [50, 53), [55, 57), [68, 71), [78, 79), [88, 93)}"
12,"{[42, 45), [49, 54), [72, 73), [80, 84), [94, 96)}"
13,"{[37, 38), [55, 57), [65, 69), [75, 80), [85, 89), [93, 95)}"
14,"{[44, 49), [55, 60), [66, 69), [74, 76), [94, 99)}"
15,"{[1, 2), [8, 13), [18, 20), [30, 35), [42, 46), [51, 56), [61, 63), [73, 77), [83, 84), [92, 93)}"
16,"{[20, 22), [32, 34), [43, 47), [54, 59), [65, 66), [74, 76), [85, 88), [94, 96)}"
17,"{[14, 18), [20, 24), [33, 35), [40, 42), [48, 50), [54, 55), [72, 77), [81, 83), [95, 98)}"
18,"{[32, 36), [42, 43), [49, 52), [68, 69), [84, 87), [93, 95)}"
19,"{[55, 60), [63, 68), [70, 73), [81, 84), [93, 96)}"
20,"{[27, 30), [37, 38), [41, 42), [67, 72), [78, 79), [87, 92)}"
21,"{[5, 8), [30, 31), [35, 39), [50, 52), [64, 66), [73, 76), [81, 85), [91, 93)}"
22,"{[33, 35), [41, 42), [62, 63), [67, 71), [78, 81), [88, 91)}"
23,"{[12, 14), [23, 24), [32, 36), [42, 45), [52, 56), [65, 70), [73, 74), [82, 84), [95, 100)}"
24,"{[33, 35), [64, 65), [69, 72), [79, 81), [90, 93)}"
25,"{[11, 16), [17, 19), [51, 56), [75, 77), [89, 94)}"
26,"{[3, 5), [15, 20), [25, 27), [35, 39), [44, 48), [54, 56), [65, 68), [74, 78), [79, 81), [90, 92)}"
27,"{[25, 26), [39, 43), [45, 47), [67, 68), [75, 80), [95, 100)}"
28,"{[3, 4), [27, 31), [37, 38), [52, 57), [64, 67), [70, 71), [77, 80), [86, 88)}"
29,"{[17, 22), [27, 28), [37, 41), [51, 52), [54, 55), [62, 65), [79, 80), [95, 98)}"
30,"{[27, 31), [62, 66), [73, 77), [85, 90), [95, 100)}"
31,"{[20, 22), [33, 34), [45, 49), [54, 57), [59, 64), [75, 78), [84, 87), [91, 92)}"
32,"{[11, 14), [44, 48), [51, 52), [63, 68), [74, 75), [84, 86), [89, 93)}"
33,"{[46, 50), [56, 61), [74, 76), [85, 90), [95, 98)}"
34,"{[15, 18), [29, 34), [44, 49), [70, 73), [79, 80), [87, 92)}"
35,"{[24, 27), [41, 42), [48, 53), [65, 68), [75, 77), [82, 84), [93, 97)}"
36,"{[27, 28), [32, 33), [40, 43), [53, 55), [80, 83), [87, 91)}"
37,"{[34, 36), [47, 50), [62, 66), [71, 76), [83, 84), [89, 94)}"
38,"{[40, 41), [49, 51), [64, 66), [75, 78), [81, 83), [87, 91)}"
39,"{[4, 7), [12, 16), [32, 34), [39, 43), [54, 58), [64, 69), [75, 78), [82, 83), [86, 89)}"
40,"{[10, 11), [23, 28), [52, 53), [56, 61), [70, 74), [79, 80), [91, 92)}"
41,"{[4, 7), [23, 27), [32, 35), [39, 44), [53, 56), [64, 67), [72, 75), [78, 83), [85, 89)}"
42,"{[33, 37), [48, 51), [59, 62), [63, 66), [76, 79), [94, 95)}"
43,"{[1, 2), [6, 10), [23, 24), [29, 30), [40, 44), [48, 50), [56, 59), [75, 80), [84, 87), [93, 95)}"
44,"{[21, 24), [38, 41), [65, 68), [75, 79), [85, 90), [94, 97)}"
45,"{[10, 13), [62, 67), [72, 73), [84, 86), [89, 92)}"
46,"{[3, 4), [18, 23), [34, 38), [50, 55), [60, 63), [72, 76), [85, 88), [91, 92)}"
47,"{[26, 31), [40, 45), [52, 55), [63, 68), [75, 80), [82, 85), [91, 96)}"
48,"{[9, 14), [29, 34), [75, 78), [82, 87), [93, 98)}"
49,"{[32, 33), [53, 58), [60, 61), [67, 69), [76, 80), [91, 95)}"
50,"{[9, 10), [17, 21), [35, 39), [45, 50), [55, 59), [64, 65), [72, 74), [80, 84), [89, 94)}"
51,"{[4, 6), [58, 61), [66, 70), [76, 80), [90, 91)}"
52,"{[33, 34), [41, 44), [55, 59), [65, 67), [75, 79), [85, 86), [90, 94)}"
53,"{[24, 28), [39, 41), [54, 56), [62, 67), [73, 74), [78, 83), [92, 93)}"
54,"{[13, 15), [33, 35), [40, 45), [50, 54), [74, 79), [83, 87), [95, 97)}"
55,"{[23, 27), [29, 30), [44, 49), [50, 54), [59, 64), [71, 74), [80, 83), [94, 99)}"
56,"{[29, 31), [59, 63), [70, 72), [85, 88), [95, 100)}"
57,"{[6, 11), [21, 24), [30, 31), [39, 43), [51, 56), [65, 68), [74, 75), [84, 88), [92, 94)}"
58,"{[1, 3), [12, 17), [21, 23), [31, 32), [38, 42), [48, 51), [59, 63), [70, 71), [76, 80), [82, 85)}"
59,"{[15, 17), [40, 45), [62, 66), [70, 74), [84, 86), [92, 96)}"
60,"{[21, 22), [28, 30), [35, 38), [51, 52), [62, 66), [74, 79), [85, 90), [95, 97)}"
61,"{[16, 20), [30, 33), [45, 50), [55, 60), [65, 67), [69, 74), [81, 83), [90, 95)}"
62,"{[5, 6), [11, 14), [19, 22), [34, 37), [40, 41), [48, 53), [63, 64), [73, 74), [85, 87), [91, 95)}"
63,"{[10, 14), [23, 27), [34, 36), [40, 45), [48, 49), [59, 64), [67, 69), [71, 72), [89, 94)}"
64,"{[9, 13), [48, 53), [62, 65), [72, 75), [84, 85), [90, 93)}"
65,"{[2, 3), [10, 14), [27, 31), [41, 43), [49, 52), [57, 59), [68, 73), [84, 87), [95, 96)}"
66,"{[11, 13), [25, 29), [30, 34), [39, 41), [50, 54), [56, 61), [66, 67), [82, 85), [94, 96)}"
